country,iso3,metric_id,latest_observation_year,latest_value,source_id,source_indicator_id,years_behind_metric_max
Australia,AUS,inflation_cpi_pct,2025,2.87403791660173,world_bank_wdi,FP.CPI.TOTL.ZG,0
Turkiye,TUR,inflation_cpi_pct,2025,34.8811629820306,world_bank_wdi,FP.CPI.TOTL.ZG,0
Indonesia,IDN,inflation_cpi_pct,2025,1.9133344329508,world_bank_wdi,FP.CPI.TOTL.ZG,0
Netherlands,NLD,inflation_cpi_pct,2025,3.2595766451366,world_bank_wdi,FP.CPI.TOTL.ZG,0
Saudi Arabia,SAU,inflation_cpi_pct,2025,2.08420853585036,world_bank_wdi,FP.CPI.TOTL.ZG,0
Switzerland,CHE,inflation_cpi_pct,2025,0.154376978290185,world_bank_wdi,FP.CPI.TOTL.ZG,0
Poland,POL,inflation_cpi_pct,2025,3.81419531520146,world_bank_wdi,FP.CPI.TOTL.ZG,0
Belgium,BEL,inflation_cpi_pct,2025,2.46705543774613,world_bank_wdi,FP.CPI.TOTL.ZG,0
Ireland,IRL,inflation_cpi_pct,2025,2.21044788475857,world_bank_wdi,FP.CPI.TOTL.ZG,0
Argentina,ARG,inflation_cpi_pct,2024,219.883929014578,world_bank_wdi,FP.CPI.TOTL.ZG,1
Sweden,SWE,inflation_cpi_pct,2025,0.679869285243995,world_bank_wdi,FP.CPI.TOTL.ZG,0
Israel,ISR,inflation_cpi_pct,2025,3.0414132155654,world_bank_wdi,FP.CPI.TOTL.ZG,0
Singapore,SGP,inflation_cpi_pct,2025,0.902998495002676,world_bank_wdi,FP.CPI.TOTL.ZG,0
Austria,AUT,inflation_cpi_pct,2025,3.52719439956928,world_bank_wdi,FP.CPI.TOTL.ZG,0
Thailand,THA,inflation_cpi_pct,2025,-0.133634356480207,world_bank_wdi,FP.CPI.TOTL.ZG,0
Norway,NOR,inflation_cpi_pct,2025,3.05562484410077,world_bank_wdi,FP.CPI.TOTL.ZG,0
Viet Nam,VNM,inflation_cpi_pct,2025,3.3099931421974,world_bank_wdi,FP.CPI.TOTL.ZG,0
Philippines,PHL,inflation_cpi_pct,2025,1.6587364525509,world_bank_wdi,FP.CPI.TOTL.ZG,0
Malaysia,MYS,inflation_cpi_pct,2025,1.38060872293692,world_bank_wdi,FP.CPI.TOTL.ZG,0
Denmark,DNK,inflation_cpi_pct,2025,1.89367372703044,world_bank_wdi,FP.CPI.TOTL.ZG,0
Colombia,COL,inflation_cpi_pct,2025,5.14222911946201,world_bank_wdi,FP.CPI.TOTL.ZG,0
Bangladesh,BGD,inflation_cpi_pct,2025,8.7687628116114,world_bank_wdi,FP.CPI.TOTL.ZG,0
Romania,ROU,inflation_cpi_pct,2025,7.18903362292063,world_bank_wdi,FP.CPI.TOTL.ZG,0
"Hong Kong SAR, China",HKG,inflation_cpi_pct,2025,1.43633540372673,world_bank_wdi,FP.CPI.TOTL.ZG,0
South Africa,ZAF,inflation_cpi_pct,2025,3.20550474112603,world_bank_wdi,FP.CPI.TOTL.ZG,0
Pakistan,PAK,inflation_cpi_pct,2025,3.54555214890893,world_bank_wdi,FP.CPI.TOTL.ZG,0
Czechia,CZE,inflation_cpi_pct,2025,2.45996367838865,world_bank_wdi,FP.CPI.TOTL.ZG,0
"Egypt, Arab Rep.",EGY,inflation_cpi_pct,2025,14.0735136645934,world_bank_wdi,FP.CPI.TOTL.ZG,0
"Iran, Islamic Rep.",IRN,inflation_cpi_pct,2025,42.1712244965444,world_bank_wdi,FP.CPI.TOTL.ZG,0
Chile,CHL,inflation_cpi_pct,2025,4.21293601694293,world_bank_wdi,FP.CPI.TOTL.ZG,0
Portugal,PRT,inflation_cpi_pct,2025,2.33601620316701,world_bank_wdi,FP.CPI.TOTL.ZG,0
Peru,PER,inflation_cpi_pct,2025,1.53125450314273,world_bank_wdi,FP.CPI.TOTL.ZG,0
Finland,FIN,inflation_cpi_pct,2025,0.337874659400574,world_bank_wdi,FP.CPI.TOTL.ZG,0
Kazakhstan,KAZ,inflation_cpi_pct,2025,11.3879454675914,world_bank_wdi,FP.CPI.TOTL.ZG,0
